Mixed Vote No.,"Bonnie,Robert,G.P.","Burton,Joan,Lab","Doherty Ryan,Deirdre,F.F.","Higgins,Joe,S.P.","Lenihan,Brian,F.F.","Mc Donald,Mary Lou,S.F.","Morrissey,Tom,P.D.","Smyth,John Thomas,C.C. CSP","Terry,Sheila,F.G."
1,,4,,3,,,1,5,2
2,,,2,,1,4,3,,
3,,,3,,1,,2,,
4,,2,,,,,3,,1
5,,2,1,,,,,,
6,,3,2,,1,,,,
7,4,1,7,3,5,6,8,9,2
8,3,4,,2,,1,,,
9,,4,,3,1,2,,,
10,2,3,,,,,,,1
11,,,,,,1,,,
12,,2,,,1,,,,
13,,,,,1,,,,
14,4,,3,1,,2,,,
15,,,,1,2,,,,
16,7,5,3,9,2,8,1,6,4
17,,,2,4,1,,3,,
18,,3,1,5,2,4,,,
19,,,,2,,1,,,
20,5,,2,4,1,,3,,
21,,2,,1,,3,,,
22,6,1,7,3,4,,5,8,2
23,,,,,2,3,,,1
24,,3,2,,1,,,,
25,5,3,8,1,9,7,4,6,2
26,5,3,2,4,1,9,6,8,7
27,4,2,6,9,5,7,1,8,3
28,,4,2,3,1,,,,5
29,,,,,2,3,1,,
30,,3,,4,,,1,,2
31,5,,3,4,1,2,,,
32,,,,,1,2,,,
33,7,6,2,5,1,3,,4,8
34,,3,1,,2,,,,
35,,,2,3,1,,,,
36,5,4,3,,2,1,,,6
37,,3,,1,2,,,,
38,4,5,6,3,2,1,8,,7
39,,,5,1,4,2,3,,
40,3,1,2,5,4,,,,
41,,,,,,1,,,
42,,,2,,1,,,,
43,1,3,7,6,2,9,5,8,4
44,,1,,2,,,3,,
45,,,1,,2,,3,,
46,,,,,1,,,,
47,,3,1,2,,,,,
48,3,1,8,4,9,5,6,7,2
49,7,2,4,1,3,9,5,8,6
50,,,,,3,,1,,2
51,,2,,,,1,,3,
52,,,3,2,,1,,,
53,6,1,3,7,2,,4,,5
54,,,,,2,,3,,1
55,2,,,,,1,,3,
56,7,4,2,6,1,3,8,9,5
57,,4,,1,,3,,,2
58,6,5,4,1,3,2,7,9,8
59,6,,5,1,2,4,7,,3
60,6,4,5,8,1,9,2,7,3
61,1,6,,2,,,5,3,4
62,5,2,8,3,9,7,4,6,1
63,,1,,2,4,3,,,
64,,,,,,1,,,2
65,,2,3,1,,,,,
66,,1,,3,,5,4,,2
67,3,,,1,,2,,,
68,,2,,,,,1,,3
69,,,,,,1,,,
70,3,4,8,1,7,6,2,9,5
71,,3,,1,,,,,2
72,,1,,5,4,,3,,2
73,,1,5,6,3,,4,,2
74,,,2,,1,,,,
75,,3,,,1,,4,,2
76,,4,,1,2,,3,,5
77,5,4,7,3,6,9,2,8,1
78,,2,,1,,,,,3
79,,,2,,1,3,,,4
80,5,2,7,1,6,8,3,9,4
81,5,2,,3,1,4,,,
82,,1,5,,2,,3,,4
83,5,9,2,8,1,4,3,7,6
84,,2,,1,,,,,3
85,2,3,,,,,1,,
86,,,,,2,,1,,
87,,,,3,2,1,,,
88,,,2,,1,,3,,4
89,,,2,,1,,3,,
90,,,2,,1,,,,3
91,3,,,1,,2,,,
92,5,6,3,1,2,4,,,
93,4,2,,3,,,,,1
94,1,,,,3,,,,2
95,,,1,,,,,,
96,,,,3,,,1,,2
97,,,2,,1,3,,4,
98,,4,,,1,,3,,2
99,,,,1,,,3,,2
100,,,,,,1,,,
101,,2,,1,,,,,
102,4,1,,2,5,,3,,
103,,,2,3,1,,4,,
104,8,2,7,4,3,9,6,5,1
105,2,1,,3,,,,,
106,7,9,2,3,1,4,5,6,8
107,3,,,,,,2,,1
108,,1,2,,,,,,
109,3,1,,2,,4,,,
110,3,1,9,2,8,4,6,5,7
111,3,2,,,1,,,,
112,5,,2,3,1,,4,,
113,,3,5,,4,,2,,1
114,,,1,3,2,,,,
115,,,,1,,,,,2
116,,1,,4,2,,3,,
117,3,5,6,2,,4,,7,1
118,4,3,,,,,2,5,1
119,,,2,,1,,,,
120,3,,,1,,2,,,
121,3,1,,,,,,,2
122,,,4,1,2,,,,3
123,3,,,1,,2,,,
124,,3,,,1,,2,,
125,2,,,1,,3,,,
126,5,7,4,1,3,2,,6,
127,4,2,,1,,,3,,
128,,2,1,,,,3,,
129,,4,1,3,2,,,,
130,,,1,3,2,,,,
131,,,2,,1,,,,
132,,2,3,,1,,,,
133,,2,4,,,,1,,3
134,2,,1,3,,4,,,
135,5,3,4,,1,,2,,
136,,,3,1,2,,,,
137,6,4,2,3,1,9,7,8,5
138,,,,1,,2,,,
139,8,5,3,6,1,7,4,9,2
140,4,2,,5,,,3,6,1
141,5,4,6,1,2,3,8,9,7
142,,,,,2,1,,,3
143,,3,,1,,2,,,
144,7,2,6,1,5,8,3,,4
145,4,2,,3,,,,,1
146,,,,1,,,,,
147,7,2,6,1,3,,4,,5
148,,3,1,,2,,5,,4
149,,1,,3,,,4,,2
150,6,4,5,2,7,,1,,3
151,6,2,8,5,7,,3,4,1
152,,2,,1,3,4,,,
153,,6,1,,3,2,4,,5
154,,,1,,,,,,
155,,5,3,,2,,4,,1
156,,2,,1,,,,,
157,,1,,,3,,2,,
158,,,,1,,2,,3,
159,,,3,1,2,,,,
160,9,5,3,6,1,7,2,8,4
161,7,3,2,4,1,8,6,9,5
162,4,2,,,,,3,5,1
163,,,,,,,,1,
164,,,2,,1,3,,,
165,5,7,,1,2,3,6,,4
166,,2,,,1,,3,,
167,3,2,7,1,8,9,6,5,4
168,,,2,,1,,,,
169,,,,1,,,,,
170,5,2,,1,,3,,,4
171,,2,,1,3,,,,
172,4,,3,,2,,1,,
173,,2,,4,5,,3,,1
174,,2,,3,,,,,1
175,,,,4,1,,3,,2
176,3,2,8,1,7,9,4,6,5
177,,3,4,2,1,,,,
178,,,,,2,,1,,
179,,4,2,1,5,,,,3
180,,2,6,4,3,,1,,5
181,,,,1,,3,,,2
182,,,,2,1,4,,,3
183,,3,,,1,,2,,
184,,,2,,1,,,,
185,4,5,1,,2,,3,,6
186,,2,,3,,,,,1
187,7,3,2,5,1,9,4,8,6
188,,1,,2,,,,,3
189,3,2,,4,,,6,5,1
190,,4,,3,2,,,,1
191,3,,,1,,2,,,
192,3,,5,1,,,2,,4
193,,,,,1,,2,,3
194,,,,2,,1,,,
195,6,1,5,3,7,8,4,,2
196,,,,1,,,,,
197,6,3,8,2,9,7,4,5,1
198,,,1,,2,,,,
199,,,2,3,1,4,,,
200,1,3,6,2,5,,,,4
201,5,3,4,2,1,7,6,,8
202,,,,2,1,,,,
203,4,1,,2,6,,5,7,3
204,2,1,8,3,7,4,5,6,9
205,,2,5,,4,,3,,1
206,,,,,2,1,,4,3
207,,,2,,1,,3,,
208,,,,,,,,,1
209,,,,1,,,,,
210,4,2,,3,,1,,,5
211,,1,,,3,,,,2
212,,,2,,1,,3,,
213,,3,,1,2,,,,
214,6,5,4,7,1,2,9,8,3
215,2,,,1,3,,,,4
216,,4,,,1,,2,,3
217,1,,,2,,,,,
218,,,2,,1,,3,,
219,,2,3,1,,,,,
220,7,5,4,6,1,8,2,9,3
221,,2,1,,,,,,
222,,2,,3,,1,,,
223,1,,,,,,,,
224,4,1,,2,,3,,,
225,,3,,2,,1,,,
226,,5,1,,2,,3,,4
227,,2,,1,,,3,,
228,5,,2,4,1,,3,,
229,4,1,7,3,6,8,5,9,2
230,,1,,,,,,,
231,,,2,,1,,,,
232,,2,8,1,6,3,4,7,5
233,,,,1,,3,,,2
234,3,4,,1,,5,6,,2
235,,4,1,,2,,,,3
236,,,2,,1,3,4,5,6
237,4,,1,,2,,3,5,6
238,,2,,1,,,,,
239,,,,,,,1,,
240,8,2,6,1,4,7,5,9,3
241,,4,,3,,,1,,2
242,3,5,,2,,4,,6,1
243,6,3,,2,5,,7,4,1
244,5,3,1,,6,,2,,4
245,,,,,1,,,,
246,4,2,,1,,5,,,3
247,1,,,3,,,2,,4
248,3,6,9,4,5,1,8,2,7
249,3,1,,2,,,,,
250,2,8,6,1,3,7,5,4,9
251,,2,,,3,,1,,4
252,2,,,,,,1,,
253,,2,4,,1,,,,3
254,8,2,7,1,3,5,6,9,4
255,,3,,,1,2,,,
256,,,1,3,2,,,,
257,,1,,2,,3,,,
258,,2,,1,,4,,,3
259,,2,,1,,,,,3
260,,,1,,,,,,
261,,,,1,,3,,,2
262,,,2,,1,3,,,
263,,3,,,,,2,,1
264,,3,,1,,,,2,
265,,2,5,,1,,3,,4
266,,,5,2,4,1,,,3
267,,3,,2,,,,,1
268,4,5,8,3,9,6,1,7,2
269,,,,1,,2,,3,
270,,2,,,,,3,,1
271,7,5,3,2,1,,4,6,8
272,4,3,,,,2,,,1
273,,,2,,1,,3,,
274,,3,,4,1,,,,2
275,2,3,,,,,,,1
276,2,,,1,,,,,3
277,,2,6,5,1,,4,,3
278,3,2,,1,,,,,4
279,2,,,,,,,,1
280,6,2,,5,4,,3,,1
281,,,3,2,1,,,,
282,,,2,3,1,,4,,5
283,,,,1,2,,,,3
284,6,7,5,2,4,3,1,9,8
285,3,2,,1,,,,4,
286,3,,,1,,2,4,,
287,,,,,,1,,,
288,,2,,,1,,,,
289,1,,,,,,,,
290,7,1,6,2,8,3,4,,5
291,,,,,,,,,1
292,,1,,,,,2,,3
293,3,,,1,,,2,,
294,3,2,4,,5,,6,,1
295,,1,,,,,2,,3
296,,1,6,5,4,,3,,2
297,,2,,,1,3,4,,
298,,,2,3,1,,,,
299,2,4,1,6,5,,7,,3
300,,,1,,2,,3,,
301,,2,,3,1,,4,,
302,,1,,,,3,,,2
303,5,4,3,1,2,7,6,8,9
304,,2,,4,,,1,,3
305,,,,2,1,3,,,
306,,,,,,,1,,
307,,,2,3,1,,,,
308,4,3,5,8,7,,1,6,2
309,,,3,,4,,1,,2
310,3,2,,4,1,,5,,
311,,,3,2,1,4,,,
312,3,,,2,,1,,,
313,,3,,2,,4,,,1
314,3,1,5,,,,2,,4
315,8,7,1,6,2,3,5,9,4
316,,2,,3,,,4,,1
317,,3,,,1,,2,,
318,,2,,4,,,3,,1
319,3,,,2,,,,,1
320,,,2,,,,1,,
321,,,2,,1,,3,,
322,6,3,5,,2,,1,,4
323,,,2,,1,,,,
324,,4,1,,,,2,,3
325,5,2,,1,,4,,,3
326,7,3,4,5,2,8,1,9,6
327,,3,2,,1,,4,,5
328,6,2,5,,4,,1,,3
329,,2,,,3,1,,,
330,,2,4,5,3,,,,1
331,4,1,,3,,,,,2
332,5,1,,,4,,3,,2
333,2,,,5,,,3,4,1
334,,,,1,,,,,
335,,1,,3,,2,,,
336,4,1,,3,,2,,6,5
337,6,4,2,5,1,,3,,
338,5,6,2,,1,,3,,4
339,,,2,3,,1,,,
340,,1,5,2,3,4,,,
341,2,,3,,,1,,,
342,,,1,,2,,,,
343,,,,3,1,2,4,,
344,,,3,,1,,2,,
345,,1,,,,,,,
346,,6,3,4,1,,5,,2
347,3,1,,,,,,,2
348,3,2,6,5,7,,4,,1
349,,,2,4,1,,3,,
350,,3,,2,,,4,,1
351,3,2,,1,,,,,4
352,,,3,,2,,4,,1
353,5,,4,1,3,2,6,,7
354,8,4,3,6,1,5,2,9,7
355,2,,,1,,3,,,
356,,,3,2,1,,,,
357,2,1,,,,,,,
358,,,,,,,1,,2
359,,,2,3,1,,,,
360,,,3,,2,,1,,4
361,,,,3,2,1,4,,
362,,2,,3,4,5,6,,1
363,,,5,,1,2,4,,3
364,2,5,,4,1,,3,,
365,,5,3,,2,6,4,,1
366,4,1,6,3,5,9,7,8,2
367,1,3,,2,,,,,
368,,,,1,2,4,,,3
369,,,,2,3,1,,,
370,1,4,2,5,3,6,7,9,8
371,,,2,,1,3,4,,
372,5,4,3,,2,,6,7,1
373,6,1,7,5,4,9,2,8,3
374,,3,1,2,4,,,,5
375,,5,4,,3,,1,,2
376,2,1,,,3,6,5,,4
377,1,3,4,,,,2,,
378,,,,,1,,2,,3
379,3,,,4,2,5,1,,6
380,,2,,1,3,,,,
381,,1,,,2,,3,,
382,,,2,,1,4,3,,
383,,4,5,2,,,3,,1
384,,,,2,1,,,,
385,8,5,1,7,2,4,6,9,3
386,,3,,2,1,,,,
387,4,6,5,3,2,1,7,,8
388,,2,,,1,,,,3
389,,,,,1,,2,,
390,,2,,,1,,,,
391,2,4,5,,3,,,1,6
392,,,2,,1,,3,,4
393,5,,2,,3,,4,,1
394,5,3,7,2,1,,6,,4
395,,,,2,,1,,,
396,,5,3,2,1,,,,4
397,,,4,1,2,,3,,
398,,4,2,,1,,,,3
399,,3,,,2,,1,,
400,1,,,2,,,,,3
401,,2,3,,,4,,,1
402,4,3,5,1,2,8,9,6,7
403,,6,2,1,,4,3,,5
404,3,5,4,8,1,2,7,9,6
405,,4,5,3,1,2,,,
406,5,1,4,3,9,2,6,7,8
407,,4,2,,1,3,,,
408,3,2,,1,,,,,4
409,,,,2,1,4,3,,
410,,3,,2,1,,,,
411,,1,3,4,,,5,,2
412,2,1,,,3,,,,
413,,,2,,1,,,,
414,,,2,3,1,,,,
415,3,,2,,4,,1,,
416,3,,,1,,2,,,
417,,2,,,1,,,3,
418,,,,,1,,,,
419,8,4,6,5,1,7,2,,3
420,7,4,3,1,,2,6,8,5
421,,1,,2,5,,4,,3
422,,3,,2,,1,,,
423,9,5,2,3,1,6,4,7,8
424,,,,1,,2,,,
425,,,1,,2,,,,
426,,2,,1,,,,,
427,,,,,,,1,,
428,,,,,,1,,,
429,,,,1,,,2,,3
430,,4,3,1,2,,,,
431,,2,5,1,,6,4,,3
432,5,6,2,3,1,9,4,8,7
433,,,2,,1,,3,,
434,3,1,6,2,5,4,,8,7
435,,,,,,,,,1
436,,1,,2,3,,,,
437,4,,3,6,5,2,1,7,
438,,3,,5,4,,2,,1
439,,,3,,1,,4,,2
440,,,,,,,,,1
441,,,,1,4,,3,,2
442,2,5,,3,,1,6,4,
443,1,,,,3,,,2,
444,,,3,,2,,1,,
445,,,2,,1,,3,,
446,3,2,,4,6,1,,,5
447,,2,6,3,5,,4,,1
448,4,3,2,1,5,6,7,8,9
449,,,,1,,2,,,
450,,,2,3,1,,,,
451,4,,1,,2,3,5,,
452,9,8,2,7,1,3,6,5,4
453,,,,3,,,2,,1
454,,2,,,,,,,1
455,,2,3,,1,,,4,
456,2,,3,,1,,,,
457,4,2,8,5,6,3,,7,1
458,6,2,,1,5,,4,,3
459,,3,2,,,1,,,
460,,,,,,,,,1
461,,5,2,,1,,3,,4
462,,3,,2,1,4,,,
463,,,3,,2,,1,,
464,,,1,,2,,3,,
465,1,,,,,,,2,
466,3,1,,,,,,,2
467,2,1,,,,,,,
468,,,,2,,1,,,
469,,,2,4,1,3,,,
470,,1,,2,,,,,
471,,2,,1,3,4,,,
472,8,2,5,4,1,7,3,,6
473,,3,1,2,4,,,,
474,,,,1,,2,,,
475,3,4,,,,,2,,1
476,3,,,1,,2,,,
477,,,1,,2,,3,5,4
478,2,7,6,1,8,5,3,4,9
479,,1,,2,3,,,,
480,6,2,7,8,5,1,4,9,3
481,,,1,,2,,3,,4
482,,,2,,1,,3,,
483,5,3,8,1,2,4,7,9,6
484,,,,,,,1,,
485,4,,,3,,2,,,1
486,,,2,,1,,,,
487,,,,,,,,,1
488,6,5,2,7,1,8,4,9,3
489,,,2,,1,,,,
490,2,1,,3,5,,6,,4
491,9,3,1,7,4,5,6,8,2
492,4,3,1,2,,,,,
493,,,,,,1,,,
494,,4,5,,1,6,2,,3
495,,1,,,,,3,,2
496,,2,,1,,,,,
497,,1,,2,,,,,
498,,,3,,1,,2,,4
499,4,1,,2,,,,,3
500,4,,3,2,1,,,,
501,6,5,,3,,2,4,,1
502,,,2,,1,,,,3
503,,,2,,1,,3,,
504,,1,,2,,3,,,
505,5,3,,1,,2,,,4
506,3,1,4,,5,,2,,
507,4,2,,,,3,,,1
508,,3,2,1,,,,,
509,5,4,,6,3,,1,,2
510,3,2,,,,4,,,1
511,,1,,2,3,,,,
512,,,,1,4,2,,,3
513,,,,,1,,,,
514,,1,,3,,,,,2
515,,4,,1,3,2,,,
516,,2,,,,,3,,1
517,7,5,2,4,1,,3,,6
518,2,1,7,5,6,9,4,8,3
519,,,,,1,,3,,2
520,,3,2,,1,,,,
521,,1,,,,,,,
522,,4,2,3,1,,5,,6
523,,3,2,4,1,,,,
524,,3,,,1,,,,2
525,,1,,2,,,,,
526,5,9,2,4,1,8,3,6,7
527,,,,1,3,,,,2
528,2,,,,3,,1,,
529,,2,4,3,1,,,,5
530,,1,,2,,,,,
531,6,4,5,3,2,1,7,,
532,2,,3,1,,4,5,,
533,2,3,4,1,5,,6,,
534,,3,,,2,4,,,1
535,,,1,,2,,,,3
536,,5,3,,2,,1,,4
537,,,2,,1,,,,
538,3,2,,4,,,6,5,1
539,6,4,3,7,2,9,1,8,5
540,,,3,2,1,,,,
541,,4,2,,1,,3,,
542,,3,,1,,2,,,
543,,3,1,,2,,4,,
544,,,2,,1,,3,,4
545,4,5,7,2,3,1,8,6,9
546,,,,1,,2,,3,
547,8,3,6,4,5,1,7,,2
548,3,1,6,5,4,8,9,7,2
549,1,3,,2,,,,,
550,,,2,,1,,4,,3
551,5,6,4,1,3,2,8,9,7
552,2,,,,5,1,4,,3
553,,4,,1,2,3,,,5
554,,5,4,1,3,,2,,6
555,,3,,1,2,,,,4
556,7,3,8,1,9,5,4,6,2
557,4,,3,,,5,1,,2
558,,,,1,3,,,,2
559,,2,,,,1,,3,
560,,,4,1,3,2,,,
561,,,,,,,2,,1
562,,,3,2,1,4,,,
563,3,7,6,1,8,2,,4,5
564,,4,,3,,,1,,2
565,5,3,6,4,2,,7,,1
566,,,2,,3,,1,,
567,,,2,,1,,3,,
568,,,,2,1,3,,,
569,4,2,7,3,8,,6,5,1
570,,,5,,3,1,2,,4
571,6,2,,1,,3,5,,4
572,8,5,7,4,3,6,1,,2
573,,,3,2,1,,4,,
574,6,4,2,1,3,5,8,,7
575,,2,,1,4,,3,,
576,,1,,2,,,,,
577,,,2,,1,,,,3
578,,5,3,,1,2,4,,
579,,,3,1,2,,,,
580,,3,,1,2,,,,
581,6,5,4,7,1,9,3,8,2
582,2,4,1,3,7,8,6,9,5
583,,,2,,1,,,,
584,4,3,,1,,,,,2
585,,1,,3,,,2,,4
586,,,2,,1,,,,
587,,,1,5,2,3,,4,
588,,,3,2,1,5,4,,
589,,,1,3,,2,,,
590,,,,,,,,,1
591,3,2,,,,,,,1
592,5,2,1,4,3,,7,8,6
593,,,,,,1,3,,2
594,,,4,2,1,,3,,5
595,4,,,1,,2,3,,5
596,3,1,4,,,,,,2
597,,,2,3,1,,,,
598,5,4,6,1,2,3,,,
599,1,,4,,3,,2,,
600,1,2,3,4,9,7,6,8,5
601,5,4,8,2,9,6,3,7,1
602,,2,4,,3,,,,1
603,,4,2,,1,6,3,,5
604,8,4,5,9,2,7,3,6,1
605,3,,,,,,2,,1
606,,1,4,5,,3,6,,2
607,,,2,,1,,,,3
608,4,1,,2,3,,,,
609,4,3,5,,,,2,,1
610,4,2,,,,,3,,1
611,,,,,,1,,,
612,8,4,3,1,2,9,5,7,6
613,8,2,4,6,1,7,5,,3
614,,,1,2,,,,,
615,,,,,1,,,,
616,8,5,3,7,2,6,4,9,1
617,,,,,2,,1,,3
618,4,2,5,3,1,8,6,9,7
619,,1,,,2,,,,3
620,,1,3,2,5,,4,,
621,,2,7,1,4,5,6,,3
622,4,2,,3,,,1,,
623,,,,3,,,2,,1
624,,,2,3,1,,,,
625,3,2,,1,,,5,4,
626,,,,2,1,,,,
627,,3,2,,1,,,,4
628,,4,3,1,2,,,,
629,1,4,,3,,2,,,
630,4,,,2,3,1,,,
631,,2,,1,,4,3,,
632,,3,,1,,,,,2
633,,3,2,,1,,,,
634,,1,,2,,,3,,
635,,,,2,,,,,1
636,,,,,1,,,,
637,,,2,,1,,,,
638,5,3,6,8,4,9,2,7,1
639,,,3,1,2,,,,
640,,,,3,2,1,,,
641,1,5,6,3,4,2,7,9,8
642,,2,3,1,4,,,,
643,6,2,5,7,4,8,3,9,1
644,7,2,6,1,4,8,5,9,3
645,5,4,,2,,1,6,7,3
646,3,1,,2,,,,4,
647,,,2,,,,,1,
648,3,1,,4,,,,,2
649,5,1,,3,,2,,,4
650,1,2,,3,,4,5,6,7
651,,4,3,,1,,5,,2
652,1,2,4,3,5,9,6,8,7
653,,,,,1,,,,
654,6,5,8,4,1,9,2,7,3
655,,3,,,4,,1,,2
656,,,2,3,1,,,,
657,,1,2,,3,,,,
658,6,1,5,,3,7,4,8,2
659,1,2,3,5,6,4,8,9,7
660,,,,,,1,,,
661,,,,1,,,,,
662,,3,,1,,2,,,
663,,,2,,1,,,,
664,,2,,3,,,,,1
665,,,,1,,,,,
666,5,7,8,4,9,2,6,3,1
667,3,1,2,,,,,,
668,,,2,,1,,,,
669,,3,,1,,4,2,,
670,,2,3,,1,,4,,
671,,2,,1,,,3,,
672,,,,,,1,,,
673,,3,,,1,,,,2
674,,,,2,1,,3,,
675,4,2,,1,,3,,,
676,,,,1,,2,,3,
677,,,2,,1,,,,
678,7,3,6,2,1,9,4,8,5
679,1,2,,,,,3,,4
680,2,4,,1,,5,3,,6
681,,,,,1,,2,,3
682,,1,,,,,,,2
683,,,,,,,,,1
684,3,,,1,,2,,,
685,1,2,,,,,,,
686,7,6,5,3,1,8,4,9,2
687,,1,,2,,,4,,3
688,,,3,2,1,,,,
689,,,,2,,1,,,3
690,4,1,,,,,3,,2
691,,,3,1,4,2,5,,6
692,,2,3,,1,4,,,
693,3,1,,2,4,6,5,,
694,,,3,,1,,,,2
695,6,4,,1,,3,5,,2
696,4,3,,2,1,5,,,
697,,3,1,,2,,,,
698,4,1,,,,,2,,3
699,,,3,2,1,,,,
700,,,3,,1,,2,,
701,8,7,4,1,5,6,2,9,3
702,,1,,2,,3,,,4
703,,,,1,2,,3,,
704,,,1,,2,5,3,4,6
705,,,,2,,1,,,
706,5,4,6,7,3,2,9,8,1
707,5,1,,6,4,,3,,2
708,1,2,,4,6,3,5,,
709,4,2,3,,,,,,1
710,3,,2,,,,1,4,
711,,2,6,,4,,3,5,1
712,1,6,8,2,7,3,4,9,5
713,,3,,,,,2,,1
714,,4,2,,1,3,5,,
715,6,4,2,7,1,5,8,,3
716,,2,,3,,,,,1
717,,,,1,2,,,,
718,4,2,,5,,,1,,3
719,,,,1,,2,,3,
720,,2,,,4,,1,,3
721,3,,,,2,1,,4,
722,8,3,7,1,4,5,9,6,2
723,,1,,3,,,4,,2
724,,,,2,,,,,1
725,4,3,1,,2,,5,,6
726,4,3,1,,2,,,,
727,,,2,3,,,,,1
728,,,4,1,2,,3,,
729,,3,,2,,,1,,
730,,1,,2,,,,,3
731,,4,2,,1,,,,3
732,,3,2,,1,,4,,
733,,2,,1,3,,,,
734,,3,,,,,2,,1
735,,,,,2,4,3,,1
736,,,1,,2,,,,
737,,2,,1,,,3,,4
738,,2,,,1,,,,3
739,7,3,5,1,4,,2,,6
740,2,3,,1,,,,,4
741,7,3,2,4,1,5,9,8,6
742,,,2,3,1,4,,,
743,7,4,1,9,2,8,3,6,5
744,6,2,7,5,4,,3,8,1
745,,,2,,1,,3,,
746,4,3,,5,,,2,,1
747,,,1,,2,,3,,
748,,3,,1,,2,4,,5
749,,1,,3,,2,,,
750,,,,1,,2,,,3
751,,,,,1,3,2,,
752,,,2,3,1,,,,
753,8,2,7,3,4,5,6,9,1
754,3,,,1,,2,,4,
755,,1,,,,,,,
756,5,3,2,6,1,8,,7,4
757,,3,,,1,,,,2
758,5,2,3,7,1,,6,,4
