Mixed Vote No|Boland,Cathal,F.G.|Daly,Clare,S.P.|Davis,Mick,S.F.|Glennon,Jim,F.F.|Goulding,Ciaran,Non-P|Kennedy,Michael,F.F.|Owen,Nora,F.G.|Quinn,Eamonn,Non-P|Ryan,Seán,Lab|Sargent,Trevor,G.P.|Walshe,David Henry,C.C. CSP|Wright,G.V.,F.F.
1|0|0|0|2|0|0|0|0|0|0|0|1
2|0|0|0|1|0|0|3|0|0|0|0|2
3|0|0|0|1|0|2|0|0|4|0|0|3
4|0|0|0|3|0|2|0|4|0|5|0|1
5|3|0|0|0|0|0|0|0|2|1|0|0
6|5|2|0|0|4|0|3|0|0|1|0|0
7|0|0|0|0|0|1|3|0|0|0|0|2
8|2|7|12|1|6|8|3|11|5|4|10|9
9|4|0|0|5|0|0|2|0|3|1|0|0
10|4|0|0|0|0|5|2|6|0|1|0|3
11|0|3|1|0|0|0|0|0|0|2|0|0
12|3|0|0|1|0|0|4|0|2|0|0|0
13|6|3|0|11|5|10|4|8|1|2|7|9
14|0|0|0|4|3|0|0|2|5|1|0|6
15|1|0|0|0|0|0|0|0|2|3|0|0
16|12|2|11|8|3|7|6|9|5|1|4|10
17|0|2|0|0|0|0|4|0|3|1|0|0
18|11|4|8|3|7|2|12|9|10|5|6|1
19|0|2|0|0|3|0|0|0|1|0|0|0
20|0|1|5|0|0|2|0|0|0|3|0|4
21|0|0|0|0|0|0|3|0|1|2|0|0
22|8|1|0|9|3|0|4|6|7|2|5|10
23|0|0|0|3|0|1|0|0|0|0|0|2
24|0|0|0|0|3|0|0|0|0|1|0|2
25|7|6|0|5|0|2|8|0|3|4|9|1
26|3|1|0|0|5|0|0|0|2|4|0|0
27|0|4|6|0|0|3|0|0|1|2|0|5
28|0|0|0|0|0|0|0|0|1|2|0|0
29|7|2|0|6|0|4|3|0|5|8|0|1
30|9|4|8|1|7|2|10|12|11|6|5|3
31|0|0|0|2|0|0|0|0|0|1|0|0
32|3|0|0|1|0|2|0|0|0|0|0|4
33|0|0|0|0|0|0|3|0|0|2|0|1
34|0|0|1|0|0|0|0|0|2|3|0|0
35|5|2|0|0|0|0|4|0|0|3|0|1
36|0|0|0|2|0|1|0|0|4|0|0|3
37|12|1|3|11|5|9|10|7|4|2|6|8
38|0|0|0|0|0|0|0|0|0|0|0|1
39|6|5|10|7|11|2|8|9|1|4|12|3
40|0|1|4|0|0|0|3|0|2|5|0|0
41|0|2|0|4|0|3|0|0|0|0|0|1
42|0|0|0|2|0|3|0|0|5|1|0|4
43|0|0|0|1|0|2|0|0|0|0|0|3
44|1|6|0|0|0|0|2|7|3|4|5|0
45|7|0|0|6|0|3|1|0|4|2|0|5
46|1|6|0|0|8|0|2|7|3|4|5|0
47|1|0|0|0|0|2|3|0|0|4|0|5
48|0|2|0|0|1|0|0|5|4|3|0|0
49|4|10|12|9|5|7|2|6|1|3|11|8
50|0|4|0|1|0|2|0|0|5|3|0|0
51|0|0|0|3|0|2|4|0|0|0|0|1
52|3|0|0|0|0|4|1|0|0|2|0|0
53|0|4|0|0|0|0|2|0|5|3|0|1
54|5|7|0|0|6|3|4|0|1|2|0|0
55|2|0|0|0|5|0|1|0|4|3|0|0
56|9|2|1|7|3|6|10|0|11|4|5|8
57|0|0|0|0|0|0|0|0|1|0|0|0
58|0|1|2|0|0|5|0|0|4|3|0|0
59|0|0|0|0|0|0|1|0|0|0|0|0
60|5|2|12|3|11|10|4|6|7|1|9|8
61|0|0|0|0|0|1|0|0|2|0|3|0
62|6|7|2|3|5|12|8|9|4|1|10|11
63|0|1|0|0|0|0|0|0|0|2|0|0
64|3|0|0|2|0|0|0|0|1|0|0|0
65|5|3|12|6|9|7|4|10|1|2|11|8
66|6|4|10|3|7|1|9|8|5|11|12|2
67|6|0|0|3|0|7|4|0|1|2|0|5
68|0|1|5|4|3|0|0|0|0|2|0|0
69|0|3|1|0|0|2|0|0|0|0|0|0
70|1|0|0|4|3|0|6|0|0|2|0|5
71|0|0|0|1|0|4|0|0|2|3|0|0
72|11|4|12|10|5|9|3|8|2|6|7|1
73|1|0|0|9|5|8|2|0|3|4|6|7
74|0|1|0|0|0|0|2|0|3|4|0|0
75|5|0|0|0|0|4|2|0|1|3|0|0
76|0|0|1|2|0|3|0|0|0|4|0|5
77|2|0|0|0|0|0|1|0|3|4|0|0
78|0|0|0|0|0|2|1|0|3|0|0|0
79|0|3|1|0|0|0|0|0|0|2|0|0
80|0|0|0|3|0|2|0|0|0|0|0|1
81|0|0|1|2|0|0|0|5|3|0|4|0
82|0|0|0|0|3|1|0|0|0|0|0|2
83|2|3|0|0|0|0|1|0|4|5|0|0
84|0|0|0|3|0|1|0|0|0|0|0|2
85|0|0|0|4|0|3|0|0|0|2|0|1
86|4|0|0|0|0|0|1|3|5|2|0|0
87|3|0|0|6|0|4|2|0|0|5|0|1
88|0|0|0|1|0|3|0|0|0|0|0|2
89|0|2|1|0|0|3|0|0|0|0|0|0
90|2|0|0|0|0|0|1|0|4|3|0|0
91|0|0|0|2|0|1|0|0|0|0|0|3
92|2|3|0|0|0|0|1|0|0|4|0|0
93|2|0|0|0|0|0|1|0|3|4|0|0
94|0|0|0|3|0|2|0|0|1|4|0|0
95|0|3|0|0|0|5|0|0|1|2|0|4
96|0|0|0|3|0|2|0|0|0|0|0|1
97|0|0|0|0|0|0|0|0|0|1|0|0
98|11|2|4|5|9|6|8|7|3|1|0|10
99|7|2|0|4|0|5|6|0|8|1|9|3
100|4|1|12|9|8|11|5|6|3|2|7|10
101|6|0|0|2|0|3|0|0|1|4|0|5
102|3|2|12|7|9|8|4|11|1|10|6|5
103|0|0|0|0|0|0|0|0|2|0|0|1
104|0|0|0|3|0|2|0|0|0|0|0|1
105|9|1|8|2|6|11|4|7|5|3|0|10
106|0|0|0|2|0|3|0|0|0|0|0|1
107|0|2|0|0|0|0|4|0|1|3|0|0
108|1|6|12|11|7|5|3|8|4|2|9|10
109|3|0|0|0|0|0|2|0|1|0|0|0
110|5|6|0|7|0|2|1|0|4|0|0|3
111|0|0|0|2|0|1|0|0|3|0|0|0
112|5|4|0|0|1|0|3|0|2|6|0|0
113|2|0|0|0|0|0|1|0|0|3|0|0
114|0|0|2|0|0|1|0|0|0|0|0|0
115|0|2|0|0|0|0|0|0|1|3|0|0
116|0|1|0|0|0|0|0|0|2|3|0|0
117|0|1|0|0|0|2|0|0|0|3|0|0
118|2|6|7|0|8|0|1|9|3|4|5|0
119|7|8|0|1|0|3|4|0|5|6|0|2
120|0|1|2|0|0|0|0|3|0|0|0|0
121|0|0|0|1|0|0|0|0|0|0|0|2
122|0|0|0|2|0|1|0|0|4|5|0|3
123|0|2|1|0|0|0|0|0|0|3|0|0
124|0|0|0|1|0|3|0|0|0|0|0|2
125|0|0|0|3|0|1|0|0|4|5|6|2
126|0|4|7|0|6|1|0|0|3|2|0|5
127|0|0|0|0|1|0|0|0|0|0|2|0
128|0|2|0|5|0|0|0|0|3|1|0|4
129|0|3|0|0|0|0|0|0|1|2|0|0
130|0|0|0|0|0|0|0|0|1|2|0|3
131|0|2|0|0|0|0|0|0|3|1|0|0
132|2|0|0|0|0|0|0|0|0|1|0|0
133|7|8|9|3|5|2|6|11|10|4|12|1
134|0|3|0|0|0|0|4|0|1|2|0|0
135|0|0|0|0|0|0|0|0|1|0|0|0
136|6|0|0|1|5|2|8|0|4|7|0|3
137|0|0|2|0|0|0|0|3|1|0|0|0
138|0|2|0|0|0|1|0|0|3|0|0|0
139|2|0|0|0|0|0|1|0|3|0|0|0
140|0|0|0|3|0|2|0|0|4|0|0|1
141|0|0|0|0|0|1|2|0|0|3|0|0
142|4|0|0|6|0|0|2|0|1|3|0|5
143|5|2|0|3|0|6|7|0|0|1|4|8
144|0|2|0|0|0|0|3|0|0|0|0|1
145|2|0|0|0|0|0|1|0|4|3|0|5
146|0|0|0|2|0|0|1|0|0|3|0|0
147|0|0|0|0|0|0|3|0|1|2|0|0
148|0|0|0|4|1|3|0|0|0|0|2|5
149|7|0|0|5|0|2|6|0|3|1|0|4
150|2|0|0|0|0|0|1|3|0|0|0|4
151|4|2|5|6|7|3|8|9|1|10|11|12
152|0|0|0|0|0|0|3|0|2|1|0|0
153|0|4|0|2|0|3|0|0|0|0|0|1
154|0|0|0|1|0|2|0|0|0|0|0|3
155|0|0|0|2|0|0|0|0|0|1|0|0
156|9|8|7|0|2|0|4|6|1|3|5|0
157|0|0|0|1|0|3|0|0|0|0|0|2
158|0|3|0|2|0|0|0|4|1|0|0|0
159|0|2|3|0|0|0|0|0|1|0|0|0
160|6|3|5|9|2|11|7|12|1|4|8|10
161|0|0|0|0|0|2|3|0|0|1|0|0
162|0|0|0|0|4|2|0|0|0|3|0|1
163|0|0|0|4|0|0|5|0|2|3|0|1
164|0|0|0|1|0|0|0|0|0|2|0|3
165|0|0|0|0|0|1|3|0|2|0|0|0
166|0|0|0|0|0|2|0|0|0|0|0|1
167|4|0|0|2|0|0|0|0|1|3|0|0
168|4|0|0|3|0|0|0|0|2|1|0|0
169|0|2|3|0|6|5|0|4|1|7|0|0
170|0|3|0|4|0|0|2|0|1|5|0|0
171|0|2|0|0|0|0|0|0|3|1|0|4
172|3|0|0|0|0|0|1|0|5|4|0|2
173|7|3|0|0|5|6|4|0|1|2|0|0
174|0|3|0|2|4|0|0|0|1|0|0|0
175|0|3|0|0|0|1|0|0|0|2|0|0
176|0|0|0|3|6|1|0|0|5|4|0|2
177|0|0|0|2|0|3|0|0|5|4|0|1
178|6|0|0|7|0|5|1|0|4|2|0|3
179|0|1|0|0|0|0|0|0|2|3|0|0
180|0|3|0|0|0|0|2|0|0|1|0|0
181|0|0|0|2|0|1|0|0|0|0|0|3
182|0|0|0|1|0|3|0|0|0|4|0|2
183|1|0|0|0|2|0|3|4|5|6|0|0
184|0|3|0|7|4|6|0|0|2|1|0|5
185|0|1|0|0|0|0|0|0|0|2|0|3
186|5|0|0|0|0|0|4|0|2|1|3|6
187|0|2|1|0|0|0|0|0|0|3|0|0
188|0|5|0|0|0|1|0|0|0|2|4|3
189|0|1|0|0|0|2|0|0|0|3|0|0
190|0|0|0|2|0|3|4|0|0|5|0|1
191|0|0|0|2|0|3|0|0|4|5|0|1
192|0|7|4|3|6|1|0|8|0|5|0|2
193|0|0|0|3|0|1|0|0|0|0|0|2
194|0|4|6|3|0|1|0|7|5|0|0|2
195|0|0|0|2|0|1|0|0|0|0|0|3
196|0|0|0|0|0|0|2|0|1|0|0|0
197|0|0|5|2|0|1|4|0|6|7|0|3
198|5|1|0|0|4|0|0|2|0|3|0|0
199|0|0|0|3|0|1|0|0|0|0|0|2
200|0|0|0|0|3|0|0|0|1|2|0|0
201|0|6|0|0|0|4|1|0|5|2|0|3
202|0|0|0|3|0|2|0|0|0|0|0|1
203|0|0|0|3|0|2|0|0|0|0|0|1
204|0|1|0|0|0|0|0|0|0|0|0|0
205|0|0|0|2|0|0|0|0|0|3|0|1
206|3|6|0|5|0|0|4|0|1|0|0|2
207|0|0|0|2|0|4|3|0|0|1|0|0
208|0|1|0|0|0|0|0|0|3|0|0|2
209|0|0|0|0|0|0|0|0|1|0|0|0
210|0|0|0|1|0|0|0|0|2|3|0|0
211|4|3|0|0|0|0|0|0|1|2|0|0
212|6|5|0|7|0|1|8|9|2|3|10|4
213|4|0|0|0|0|0|3|0|2|1|0|0
214|0|0|0|2|0|1|0|0|0|0|0|3
215|9|8|7|2|0|1|0|5|4|3|0|6
216|0|0|0|3|0|1|0|0|5|4|0|2
217|0|1|0|0|0|0|0|0|0|2|0|0
218|0|4|3|0|5|7|6|0|2|1|0|0
219|3|7|0|0|5|0|2|6|0|1|4|0
220|0|4|0|0|3|0|0|0|1|2|0|0
221|3|0|0|0|0|0|2|0|0|1|0|0
222|6|0|0|3|4|1|5|8|7|0|0|2
223|1|0|0|4|2|5|3|0|6|0|0|0
224|0|0|5|3|0|1|0|0|4|0|0|2
225|0|0|0|0|2|0|0|3|0|1|4|0
226|12|11|6|10|9|2|8|3|1|4|5|7
227|9|1|6|10|12|11|7|5|2|3|4|8
228|0|2|0|0|0|0|0|0|0|1|0|0
229|0|2|3|0|0|0|0|0|0|0|1|0
230|0|0|0|0|0|0|3|0|1|2|4|0
231|2|5|6|0|7|0|1|9|4|3|8|0
232|0|0|1|0|0|2|0|0|0|3|0|0
233|4|6|5|10|7|8|3|11|1|2|12|9
234|0|3|0|0|0|1|0|0|2|0|0|0
235|0|3|0|0|0|0|2|0|0|1|0|0
236|3|0|0|0|4|0|2|0|0|1|0|0
237|3|0|0|0|0|2|0|1|4|0|0|0
238|0|0|0|2|0|1|0|0|0|0|0|3
239|4|0|0|0|0|0|3|0|2|1|0|5
240|0|2|3|0|0|0|0|0|1|0|0|0
241|0|2|0|4|0|1|0|0|0|0|0|3
242|0|0|0|0|4|0|1|0|3|2|0|0
243|5|1|0|0|0|0|3|0|4|2|0|0
244|0|0|0|0|0|0|3|0|2|1|0|0
245|0|0|0|1|0|0|0|0|2|3|0|0
246|0|1|0|0|0|0|0|0|2|0|0|3
247|0|2|1|0|3|0|0|4|0|5|0|0
248|0|4|0|3|5|2|0|0|0|0|0|1
249|8|7|11|3|6|1|10|5|12|4|9|2
250|0|0|0|2|0|3|0|0|0|0|0|1
251|0|2|1|5|3|6|8|0|0|4|0|7
252|6|0|3|0|5|0|2|0|1|4|0|0
253|5|0|0|0|0|0|2|0|3|1|4|0
254|0|0|0|2|0|1|0|0|0|4|0|3
255|0|0|0|3|0|2|8|7|4|5|6|1
256|0|0|0|0|0|0|3|0|2|1|0|0
257|2|4|0|0|0|0|1|0|0|3|0|0
258|0|0|0|3|0|2|0|0|0|0|0|1
259|0|3|1|0|0|0|0|0|0|2|0|0
260|0|0|0|0|0|0|1|0|3|2|0|0
261|8|2|9|7|10|1|6|11|4|3|12|5
262|0|0|0|1|0|3|0|0|0|4|0|2
263|0|1|0|0|0|0|0|0|2|0|0|3
264|10|4|8|7|9|1|2|12|5|6|11|3
265|0|0|0|0|0|0|0|0|0|1|0|2
266|5|0|0|1|0|2|0|0|4|0|0|3
267|0|3|0|1|0|0|0|0|2|0|0|0
268|3|0|0|0|0|0|1|0|0|2|0|0
269|4|0|0|2|5|1|7|0|0|8|6|3
270|0|0|5|4|3|1|0|0|0|0|0|2
271|0|0|0|1|0|0|0|0|0|0|0|0
272|0|0|6|4|1|5|0|7|0|2|0|3
273|7|9|0|8|4|6|1|0|2|3|5|10
274|0|3|0|0|0|0|0|1|4|2|0|0
275|2|0|0|0|0|0|1|0|0|3|0|0
276|9|10|12|1|4|3|11|5|6|8|7|2
277|0|2|0|0|0|0|0|0|0|1|0|0
278|0|1|0|4|0|0|0|2|5|3|0|0
279|0|0|0|0|0|0|1|0|2|0|0|0
280|0|0|0|3|0|2|0|0|0|0|0|1
281|0|2|0|3|0|1|0|0|0|0|0|0
282|0|0|3|0|0|0|0|0|1|2|0|0
283|5|6|0|0|4|0|3|0|1|2|0|0
284|0|0|0|2|5|3|0|0|0|4|0|1
285|0|0|0|0|2|0|0|0|3|1|0|0
286|0|4|5|2|0|1|0|0|0|0|0|3
287|0|1|0|5|0|4|0|0|2|0|0|3
288|2|0|0|5|0|0|1|0|3|4|0|0
289|7|3|10|4|1|11|8|6|5|2|9|12
290|0|5|0|1|4|2|0|0|0|0|0|3
291|0|0|0|0|2|0|0|3|0|1|0|0
292|0|0|0|0|0|0|1|0|2|0|0|3
293|0|0|0|3|0|2|0|0|4|0|0|1
294|0|0|0|0|0|0|1|0|3|2|0|0
295|0|0|0|2|0|1|0|0|5|4|0|3
296|0|5|1|6|8|7|0|0|2|3|0|4
297|6|1|4|0|5|0|3|0|2|0|0|0
298|9|4|0|8|1|10|7|3|6|2|5|11
299|5|3|0|0|0|0|2|0|4|1|0|0
300|4|0|0|0|0|0|1|0|5|2|0|3
301|0|8|3|5|7|1|0|0|2|4|0|6
302|0|0|0|3|0|2|0|0|0|0|0|1
303|0|0|0|3|0|2|0|0|0|0|0|1
304|0|1|6|0|7|0|0|3|2|4|5|8
305|0|0|0|3|0|0|0|0|2|1|0|0
306|6|1|12|5|11|4|7|10|8|2|9|3
307|4|1|9|0|8|0|7|6|3|2|5|0
308|0|0|0|4|0|3|6|0|1|2|0|5
