Mixed Vote No.|Bonnie,Robert,G.P.|Burton,Joan,Lab|Doherty Ryan,Deirdre,F.F.|Higgins,Joe,S.P.|Lenihan,Brian,F.F.|Mc Donald,Mary Lou,S.F.|Morrissey,Tom,P.D.|Smyth,John Thomas,C.C. CSP|Terry,Sheila,F.G.
1|0|4|0|3|0|0|1|5|2
2|0|0|2|0|1|4|3|0|0
3|0|0|3|0|1|0|2|0|0
4|0|2|0|0|0|0|3|0|1
5|0|2|1|0|0|0|0|0|0
6|0|3|2|0|1|0|0|0|0
7|4|1|7|3|5|6|8|9|2
8|3|4|0|2|0|1|0|0|0
9|0|4|0|3|1|2|0|0|0
10|2|3|0|0|0|0|0|0|1
11|0|0|0|0|0|1|0|0|0
12|0|2|0|0|1|0|0|0|0
13|0|0|0|0|1|0|0|0|0
14|4|0|3|1|0|2|0|0|0
15|0|0|0|1|2|0|0|0|0
16|7|5|3|9|2|8|1|6|4
17|0|0|2|4|1|0|3|0|0
18|0|3|1|5|2|4|0|0|0
19|0|0|0|2|0|1|0|0|0
20|5|0|2|4|1|0|3|0|0
21|0|2|0|1|0|3|0|0|0
22|6|1|7|3|4|0|5|8|2
23|0|0|0|0|2|3|0|0|1
24|0|3|2|0|1|0|0|0|0
25|5|3|8|1|9|7|4|6|2
26|5|3|2|4|1|9|6|8|7
27|4|2|6|9|5|7|1|8|3
28|0|4|2|3|1|0|0|0|5
29|0|0|0|0|2|3|1|0|0
30|0|3|0|4|0|0|1|0|2
31|5|0|3|4|1|2|0|0|0
32|0|0|0|0|1|2|0|0|0
33|7|6|2|5|1|3|0|4|8
34|0|3|1|0|2|0|0|0|0
35|0|0|2|3|1|0|0|0|0
36|5|4|3|0|2|1|0|0|6
37|0|3|0|1|2|0|0|0|0
38|4|5|6|3|2|1|8|0|7
39|0|0|5|1|4|2|3|0|0
40|3|1|2|5|4|0|0|0|0
41|0|0|0|0|0|1|0|0|0
42|0|0|2|0|1|0|0|0|0
43|1|3|7|6|2|9|5|8|4
44|0|1|0|2|0|0|3|0|0
45|0|0|1|0|2|0|3|0|0
46|0|0|0|0|1|0|0|0|0
47|0|3|1|2|0|0|0|0|0
48|3|1|8|4|9|5|6|7|2
49|7|2|4|1|3|9|5|8|6
50|0|0|0|0|3|0|1|0|2
51|0|2|0|0|0|1|0|3|0
52|0|0|3|2|0|1|0|0|0
53|6|1|3|7|2|0|4|0|5
54|0|0|0|0|2|0|3|0|1
55|2|0|0|0|0|1|0|3|0
56|7|4|2|6|1|3|8|9|5
57|0|4|0|1|0|3|0|0|2
58|6|5|4|1|3|2|7|9|8
59|6|0|5|1|2|4|7|0|3
60|6|4|5|8|1|9|2|7|3
61|1|6|0|2|0|0|5|3|4
62|5|2|8|3|9|7|4|6|1
63|0|1|0|2|4|3|0|0|0
64|0|0|0|0|0|1|0|0|2
65|0|2|3|1|0|0|0|0|0
66|0|1|0|3|0|5|4|0|2
67|3|0|0|1|0|2|0|0|0
68|0|2|0|0|0|0|1|0|3
69|0|0|0|0|0|1|0|0|0
70|3|4|8|1|7|6|2|9|5
71|0|3|0|1|0|0|0|0|2
72|0|1|0|5|4|0|3|0|2
73|0|1|5|6|3|0|4|0|2
74|0|0|2|0|1|0|0|0|0
75|0|3|0|0|1|0|4|0|2
76|0|4|0|1|2|0|3|0|5
77|5|4|7|3|6|9|2|8|1
78|0|2|0|1|0|0|0|0|3
79|0|0|2|0|1|3|0|0|4
80|5|2|7|1|6|8|3|9|4
81|5|2|0|3|1|4|0|0|0
82|0|1|5|0|2|0|3|0|4
83|5|9|2|8|1|4|3|7|6
84|0|2|0|1|0|0|0|0|3
85|2|3|0|0|0|0|1|0|0
86|0|0|0|0|2|0|1|0|0
87|0|0|0|3|2|1|0|0|0
88|0|0|2|0|1|0|3|0|4
89|0|0|2|0|1|0|3|0|0
90|0|0|2|0|1|0|0|0|3
91|3|0|0|1|0|2|0|0|0
92|5|6|3|1|2|4|0|0|0
93|4|2|0|3|0|0|0|0|1
94|1|0|0|0|3|0|0|0|2
95|0|0|1|0|0|0|0|0|0
96|0|0|0|3|0|0|1|0|2
97|0|0|2|0|1|3|0|4|0
98|0|4|0|0|1|0|3|0|2
99|0|0|0|1|0|0|3|0|2
100|0|0|0|0|0|1|0|0|0
101|0|2|0|1|0|0|0|0|0
102|4|1|0|2|5|0|3|0|0
103|0|0|2|3|1|0|4|0|0
104|8|2|7|4|3|9|6|5|1
105|2|1|0|3|0|0|0|0|0
106|7|9|2|3|1|4|5|6|8
107|3|0|0|0|0|0|2|0|1
108|0|1|2|0|0|0|0|0|0
109|3|1|0|2|0|4|0|0|0
110|3|1|9|2|8|4|6|5|7
111|3|2|0|0|1|0|0|0|0
112|5|0|2|3|1|0|4|0|0
113|0|3|5|0|4|0|2|0|1
114|0|0|1|3|2|0|0|0|0
115|0|0|0|1|0|0|0|0|2
116|0|1|0|4|2|0|3|0|0
117|3|5|6|2|0|4|0|7|1
118|4|3|0|0|0|0|2|5|1
119|0|0|2|0|1|0|0|0|0
120|3|0|0|1|0|2|0|0|0
121|3|1|0|0|0|0|0|0|2
122|0|0|4|1|2|0|0|0|3
123|3|0|0|1|0|2|0|0|0
124|0|3|0|0|1|0|2|0|0
125|2|0|0|1|0|3|0|0|0
126|5|7|4|1|3|2|0|6|0
127|4|2|0|1|0|0|3|0|0
128|0|2|1|0|0|0|3|0|0
129|0|4|1|3|2|0|0|0|0
130|0|0|1|3|2|0|0|0|0
131|0|0|2|0|1|0|0|0|0
132|0|2|3|0|1|0|0|0|0
133|0|2|4|0|0|0|1|0|3
134|2|0|1|3|0|4|0|0|0
135|5|3|4|0|1|0|2|0|0
136|0|0|3|1|2|0|0|0|0
137|6|4|2|3|1|9|7|8|5
138|0|0|0|1|0|2|0|0|0
139|8|5|3|6|1|7|4|9|2
140|4|2|0|5|0|0|3|6|1
141|5|4|6|1|2|3|8|9|7
142|0|0|0|0|2|1|0|0|3
143|0|3|0|1|0|2|0|0|0
144|7|2|6|1|5|8|3|0|4
145|4|2|0|3|0|0|0|0|1
146|0|0|0|1|0|0|0|0|0
147|7|2|6|1|3|0|4|0|5
148|0|3|1|0|2|0|5|0|4
149|0|1|0|3|0|0|4|0|2
150|6|4|5|2|7|0|1|0|3
151|6|2|8|5|7|0|3|4|1
152|0|2|0|1|3|4|0|0|0
153|0|6|1|0|3|2|4|0|5
154|0|0|1|0|0|0|0|0|0
155|0|5|3|0|2|0|4|0|1
156|0|2|0|1|0|0|0|0|0
157|0|1|0|0|3|0|2|0|0
158|0|0|0|1|0|2|0|3|0
159|0|0|3|1|2|0|0|0|0
160|9|5|3|6|1|7|2|8|4
161|7|3|2|4|1|8|6|9|5
162|4|2|0|0|0|0|3|5|1
163|0|0|0|0|0|0|0|1|0
164|0|0|2|0|1|3|0|0|0
165|5|7|0|1|2|3|6|0|4
166|0|2|0|0|1|0|3|0|0
167|3|2|7|1|8|9|6|5|4
168|0|0|2|0|1|0|0|0|0
169|0|0|0|1|0|0|0|0|0
170|5|2|0|1|0|3|0|0|4
171|0|2|0|1|3|0|0|0|0
172|4|0|3|0|2|0|1|0|0
173|0|2|0|4|5|0|3|0|1
174|0|2|0|3|0|0|0|0|1
175|0|0|0|4|1|0|3|0|2
176|3|2|8|1|7|9|4|6|5
177|0|3|4|2|1|0|0|0|0
178|0|0|0|0|2|0|1|0|0
179|0|4|2|1|5|0|0|0|3
180|0|2|6|4|3|0|1|0|5
181|0|0|0|1|0|3|0|0|2
182|0|0|0|2|1|4|0|0|3
183|0|3|0|0|1|0|2|0|0
184|0|0|2|0|1|0|0|0|0
185|4|5|1|0|2|0|3|0|6
186|0|2|0|3|0|0|0|0|1
187|7|3|2|5|1|9|4|8|6
188|0|1|0|2|0|0|0|0|3
189|3|2|0|4|0|0|6|5|1
190|0|4|0|3|2|0|0|0|1
191|3|0|0|1|0|2|0|0|0
192|3|0|5|1|0|0|2|0|4
193|0|0|0|0|1|0|2|0|3
194|0|0|0|2|0|1|0|0|0
195|6|1|5|3|7|8|4|0|2
196|0|0|0|1|0|0|0|0|0
197|6|3|8|2|9|7|4|5|1
198|0|0|1|0|2|0|0|0|0
199|0|0|2|3|1|4|0|0|0
200|1|3|6|2|5|0|0|0|4
201|5|3|4|2|1|7|6|0|8
202|0|0|0|2|1|0|0|0|0
203|4|1|0|2|6|0|5|7|3
204|2|1|8|3|7|4|5|6|9
205|0|2|5|0|4|0|3|0|1
206|0|0|0|0|2|1|0|4|3
207|0|0|2|0|1|0|3|0|0
208|0|0|0|0|0|0|0|0|1
209|0|0|0|1|0|0|0|0|0
210|4|2|0|3|0|1|0|0|5
211|0|1|0|0|3|0|0|0|2
212|0|0|2|0|1|0|3|0|0
213|0|3|0|1|2|0|0|0|0
214|6|5|4|7|1|2|9|8|3
215|2|0|0|1|3|0|0|0|4
216|0|4|0|0|1|0|2|0|3
217|1|0|0|2|0|0|0|0|0
218|0|0|2|0|1|0|3|0|0
219|0|2|3|1|0|0|0|0|0
220|7|5|4|6|1|8|2|9|3
221|0|2|1|0|0|0|0|0|0
222|0|2|0|3|0|1|0|0|0
223|1|0|0|0|0|0|0|0|0
224|4|1|0|2|0|3|0|0|0
225|0|3|0|2|0|1|0|0|0
226|0|5|1|0|2|0|3|0|4
227|0|2|0|1|0|0|3|0|0
228|5|0|2|4|1|0|3|0|0
229|4|1|7|3|6|8|5|9|2
