Mixed Vote No.|Brady,Johnny,F.F.|Bruton,John,F.G.|Colwell,Jane,Non-P|Dempsey,Noel,F.F.|English,Damien,F.G.|Farrelly ,John V,F.G.|Fitzgerald,Brian,Non-P|Kelly,Tom,Non-P|O' Brien,Pat,Non-P|O' Byrne,Fergal,G.P.|Redmond,Michael,C.C. CSP|Reilly,Joe,S.F.|Wallace,Mary,F.F.|Ward,Peter,Lab
1|0|0|0|3|2|0|0|0|0|1|0|0|0|0
2|0|2|0|0|3|0|1|0|0|0|0|0|4|0
3|0|1|8|0|2|3|7|6|5|4|0|0|0|0
4|1|4|7|2|5|8|9|10|11|12|13|14|3|6
5|0|4|0|0|1|3|5|0|6|0|0|0|0|2
6|0|1|0|7|2|3|6|0|0|5|0|0|0|4
7|1|0|0|2|0|0|0|0|0|0|0|0|3|0
8|0|2|0|0|3|0|4|0|0|0|0|0|1|0
9|0|0|0|1|0|0|3|0|0|0|0|0|2|0
10|0|2|0|0|0|1|0|4|0|3|0|0|0|5
11|0|0|0|0|0|0|1|0|0|0|0|0|2|0
12|1|0|0|2|0|0|0|0|0|0|0|0|3|0
13|0|0|1|0|0|0|0|0|2|3|0|4|0|0
14|2|0|0|3|0|0|0|0|0|0|0|0|1|0
15|0|0|0|0|0|0|0|0|0|0|0|1|0|0
16|1|0|0|3|0|0|0|0|0|0|0|0|2|0
17|0|0|0|2|0|0|0|0|0|0|0|1|0|3
18|0|3|0|0|2|5|1|0|0|4|0|0|0|0
19|0|0|0|0|0|0|0|0|0|0|0|1|2|0
20|0|1|0|0|2|0|0|0|0|0|0|3|0|0
21|1|0|0|3|0|0|0|0|0|0|0|0|2|0
22|0|2|0|1|4|0|3|0|0|0|0|5|0|6
23|0|7|2|10|3|0|4|9|8|6|0|0|1|5
24|0|0|0|0|0|0|1|2|0|0|0|0|0|0
25|0|0|0|0|0|3|0|1|2|0|0|0|0|0
26|4|0|0|3|5|0|0|1|0|0|0|0|2|6
27|0|1|0|0|0|0|0|0|0|0|0|0|0|0
28|2|0|0|3|0|0|0|0|0|0|0|0|1|0
29|1|0|0|3|2|0|0|0|0|0|0|0|4|0
30|1|0|0|2|3|0|0|0|0|0|0|0|0|0
31|3|0|0|2|0|0|4|0|0|0|0|0|1|5
32|0|1|0|4|2|5|0|0|0|0|0|3|0|0
33|13|8|6|12|9|10|1|5|4|3|14|7|11|2
34|2|0|0|3|0|0|0|0|0|0|0|0|1|0
35|1|4|0|3|0|0|2|0|0|0|0|0|0|0
